Nama,Alamat,Latitude,Longitude
Dealer Honda Daya Motor Tambun Bekasi,Jl. Diponegoro 16,-6.254541,107.042773
Dealer Honda Daya Motor Cirebon,Jl. Tuparev 5,-6.712139,108.550676
Deassy Motor Haurgeulis,JL. JEND. SUDIRMAN 54 BABAKAN JATI III,-6.44958,107.94202
Dealer Honda Cemara Agung Perdana Sumedang,Jl. Prabu Geusan Ulun 92-94 RT 04/02,-6.855581,107.922192
Dealer Honda Berkat Abadi Motor Bandung,Jl. AH. Nasution 170,-6.899207,107.705247
Dealer Honda Lestari Motor Bogor,Jl. Raya Jonggol 9,-6.466865,107.061408
Haribaru Gemilang. PT,Jl. Raya Banjaran 172,-7.003318,107.617342
Cemara Agung Motor,Jl. Ciateul 116 RT 05/07,-6.932163,107.609432
Honda Artamas Kurnia,Kp. Pekayon Jaya,-6.253065,106.991428
Honda Bintang Motor - Cibinong,Jl. Mayor Oking Jayaatmaja 102,-6.514601,106.811757
Dealer & Bengkel Honda Wing Mitra Jaya Bekasi (part Of Mitra Jaya Group),Jl. Jend. Sudirman 99,-6.228628,106.982477
Pd Star Motor 3 Telagasari Karawang,Jl. Raya Telagasari 18 RT 06/10,-6.288596,107.383417
Dealer Honda Agung Motor Cianjur,Jl. Dr. Muwardi 175 C,-6.813499,107.134257
Honda Mega Motor Bogor,Jl. Raya Sindangbarang 362,-6.580106,106.765184
Dealer Honda Pd.lima Motor Purwakarta,Jl. Re. Martadinata 35,-6.553841,107.44402
Cv. Pelangi Prima Mandiri,Jl. Merdeka 65,-6.588957,106.78773
PT. Honda Bintang Motor Bekasi,Jl. Teuku Umar,-6.273628,107.100555
Perdana Motor Cirebon,Jl. Kalitanjung 47,-6.74725,108.535228
Wijaya Motor - Dealer & Bengkel Resmi Sepeda Motor Honda,Jl. Jend. Sudirman 257,-6.919817,107.595182
Dealer & Bengkel Resmi Honda Prima Motor Cirebon,Jl. Ahmad Yani 18-20 RT 01/14,-6.741855,108.566796
Dealer Honda Dwi Setia Kawan Motor Karangampel Indramayu,JL. DAMPUAWANG NO 08,-6.46069,108.45139
Pd Lima Motor Purwadadi,Jl. Raya Pasar Purwadadi,-6.434466,107.687204
Dealer Honda Mitra Jaya (part Of Mitra Jaya Group),Jl. Raya Bogor 10 Km. 29,-6.359562,106.859362
Daya Motor Pondok Gede,Jl. Raya Jatiwaringin 108,-6.268399,106.915075
Pd. Lima Motor Cilamaya,Jl. Raya Cilamaya 122,-6.313111,107.319362
Honda Naga Mas Bandung,Jl. Soekarno Hatta 529,-6.94443,107.642574
Honda Daya Motor Rancaekek,Jl. Raya Bojongloa 10,-6.97051,107.761923
Honda Daya Motor Arjawinangun,Jl. By Pass Arjawinangun 98,-6.697896,108.555617
Gelora Fajar Perkasa,Jl. Terusan Pasir Koja 66 RT 13/01,-6.925957,107.594457
Honda Pacific Motor 3,Jl. Raya Cikarang Cibarusah 80,-6.318891,107.130964
Dealer Honda - Pd Prakasa 1,Jl. Tuparev 179,-6.308964,107.298237
Honda Rpm Motor Cihampelas,Jl. Cihampelas 159 A RT 05/07,-6.895405,107.604126
Dealer Honda Sejahtera Mulia Motor Cirebon,Jl. Ir. H. Juanda 14 Battembat,-6.708245,108.519349
Wahana Ritel Honda Bandung,Jl. Abdurahman Saleh 53,-6.81346,107.591006
Dealer & Ahass Putera Merdeka Cibubur,Jl. Alternatif Cibubur-Cileungsi,-6.389741,106.946678
Honda Astra Motor Bandung,Jl. Jenderal Sudirman 566-568,-6.940055,107.648487
Dealer Honda Daya Motor Asia Afrika Bandung (official),Jl. Asia Afrika 138,-6.922085,107.613779
Dealer Honda Daya Motor Subang (official),Jl. Raya Ciasem 16,-6.337292,107.658437
Dealer Honda Daya Motor Widasari Indramayu(official),Jl. Raya Kongsijaya 15,-6.396127,108.3066
Honda Duta Victory Raya,Jl. Surotokunto 55,-6.320762,107.324173
Dealer & Bengkel Honda Ahass Graha Surya Palimanan Cirebon,Jl. Setiabudi 22,-6.726994,108.553016
Catur Putra Jaya,Jl. Perjuangan M 17-M 19,-6.221964,107.023911
Dealer & Bengkel Honda Netral Jaya Motor Bandung,Jl. Pasirkaliki 100,-6.908745,107.597986
Honda Daya Motor Bogor,Jl. Soleh Iskandar 3-5,-6.562902,106.79489
Dealer Honda Daya Motor Cikampek,Jl. Jend. Sudirman 145,-6.409452,107.475812
Dealer Honda Daya Motor Tasikmalaya,Jl. Sutisna Senjaya 55,-7.327488,108.227864
PT.agung Jaya Bersama,Jl. Perintis Kemerdekaan 206,-6.913888,107.608308
Honda Amarta,JL. SULTAN HASANUDIN 255,-6.26343,107.06658
PT. Honda Bintang Motor - Cikarang,Jl. Utama Biie Plot I Commercial,-6.229987,107.014411
Dealer Honda Mitra Utama Cirebon,JL. SUNAN GUNUNG JATI 47,-6.30035,106.97302
Pacific Motor 2 Bantargebang,Jl. Raya Narogong 8 Km. 11,-6.317737,106.985765
Dealer Honda Suprajaya Motor Bogor,Jl. Raya Gunung Putri Utara,-6.457414,106.899441
Dealer Honda Berdikari Motor Kadipaten Majalengka,Jl. Siliwangi 1 Blok Doar Selatan,-6.846224,108.227024
Dealer & Bengkel Honda Ahass Graha Surya Kalimalang,Jl. Kh.Noer Ali 9A-9D,-6.249377,106.959591
Honda Daya Motor Jatimakmur,Jl. Jatimakmur 8-9,-6.283369,106.928062
Dealer Honda Daya Motor Garut,Jl. Perintis Kemerdekaan RT 05/01,-7.211418,107.902069
Honda Daya Motor Ciamis,Jl. Jend. Sudirman 129,-7.326064,108.335578
Dealer Honda Daya Motor Majalengka (official),Jl. Kh. Abdul Halim 322,-6.834177,108.234722
Dealer Honda Daya Motor Jatinangor Sumedang (official),Jl. Raya Jatinangor Km 21,-6.841306,108.022569
Dealer Honda Daya Motor Purwakarta (official),Jl. Kapten Halim 27,-6.568079,107.450722
Honda Daya Motor Cikarang,Jl. Anggrek Raya Blok B1 23,-6.394589,106.774739
Dealer Honda Sam Bogor,Jl. Raya Wangun 385 E,-6.64729,106.842679
PT. Kusuma Sejati Inti Prima,Jl. Joyomartono 52 Kav.37,-6.258751,107.020189
Dealer Honda Daya Motor Sukabumi,Jl. R.A. Kosasih 109,-6.921888,106.944466
Dealer Honda Nusantara Sakti Sukabumi,Jl. Raya Rambai 68,-6.911268,106.896584
Honda Bintang Kemakmuran,Jl. Raya Hankam 198,-6.29895,106.923602
Tunas Honda Bekasi,Jl. Raya Caman 25,-6.253153,106.952048
PT. Honda Bintang Motor - Depok,Jl. Limo Raya 58,-6.353876,106.776248
Dealer Motor Honda Tridjaya Indramayu,Jl. Raya Kopyah 8 RT 05/03,-6.376932,107.959202
Honda Bam (bintang Anugrah Motor),Jl. Cirebon-Bandung Blok Siduit,-6.706836,108.44953
Honda Daya Motor Cibinong (official),"Jl. Raya Bogor Km. 47,5",-6.51091,106.842018
Naga Mas Motor Cirebon,Jl. Brigjen Dharsono 8 Bypass,-6.722763,108.537709
Dealer & Bengkel Honda Ahass Motocare Sawangan 08036,Jl. Raya Sawangan 5,-6.395131,106.798225
Honda Cemara Agung Pratama Karawang Official Dealership,Jl. Raya Kosambi RT 23/06,-6.367393,107.369287
PT. Murni Motor,Jl. Raya Padjajaran 78 Q,-6.614034,106.813473
PT. Murni Subaja Mas,Jl. Bintara Raya 24,-6.233321,106.968372
Dealer Honda Suprajaya Motor Jatiasih,Jl. Raya Pasar Rebo Kav. 103,-6.319815,107.029982
Prima Motor - Dealer Resmi Motor Honda,Jl. Siliwangi 45 A,-6.400442,106.825493
Kirana Motorindo Jaya,Jl. Pahlawan 50 A,-6.395303,106.959537
Rama Motor - Dealer Resmi Sepeda Motor Honda,Jl. Cilalawi 90 Km. 11,-6.623947,107.404242
Pacific Motor 4,Jl. Yos Sudarso 35,-6.256698,107.139576
Dealer & Bengkel Honda Ahass Catur Putra Jaya - Depok,Jl. Raya Sawangan 12,-6.39393,106.79267
Dealer Honda Agung Motor Pacet,Jl. Raya Cipanas,-6.813697,107.134262
Dealer Honda Anugrah Hasta Mulia Garut,Jl. Raya Bayongbong 150 KM 12,-7.224487,107.900581
Dealer Honda Sanprima Sentosa Bogor,Jl. Jendral Sudirman 52,-6.582098,106.796902
Cv. Cemara Guna Lestari - Cemara Motor,Jl. Raya Leles 56,-7.110017,107.897962
PT Cibitung Motor Mandiri,Jl. Teuku Umar 7-8,-6.891425,107.614807
Dealer Resmi Honda Setia Abadi Mitra Motor Bandung,JL. MARGACINTA 216,-6.95554,107.65285
Cv Roda Mitra Lestari,Jl. Pramuka I-A,-6.269984,107.00439
PT Kujang Sakti Anugrah,Jl. Wibawa Mukti II 8 A-C,-6.309087,106.956215
Honda Daya Motor Soreang,Jl. Raya Soreang 10,-7.02854,107.528603
Honda Berkah Pratama Sinergi,Jl. Terusan I Gusti Ngurah Rai 18,-6.219881,106.956205
Kuda Mas Motor,JL. RAYA BOJONG GEDE NO.18,-6.48094,106.79975
Dealer & Bengkel Honda Ahass Millenium Putra Motor 9469 Depok,Jl. Ir. H. Juanda 50,-6.900812,107.612594
Dealer & Bengkel Honda Netral Jaya Motor Tasikmalaya,Jl. R.E. Martadinata 256A,-7.307648,108.208656
Cv Honda Sinar Makmur,"Jl. Raya Rancaekek KM 23,7 Dusun Cikijing RT 04/01",-6.961116,107.791218
Eka Surya Wijaya - Dealer Resmi & Bengkel Sepeda Motor Honda,Jl. Ciwastra 62,-6.961625,107.668261
Dealer & Ahass Honda Catur Putra Jaya Bogor,Jl. Raya Parung Bogor 5 Km. 15,-6.483054,106.732156
Daya Motor Sumedang (official),Jl. Prabu Gajah Agung 1,-6.83474,107.929959
PT. Honda Bintang Motor - Cirebon,Jl. Fatahillah Blok Kaliandul,-6.870452,108.721776
Dealer & Bengkel Honda Sms Motor Bekasi,Ruko Sentra Niaga Bulevar Hijau 8-9,-6.184566,106.983763
Dwi Putra Anugrah Perkasa - Dealer Motor Honda,Jl. Mahar Martanegara 159 RT 01/02,-6.900436,107.547879
Dealer Honda Niaga Redja Abadi Tasikmalaya,Jl. Perintis Kemerdekaan 50A,-6.833713,107.140335
Dealer Roda Motor,Jl. Raya Sukabumi 75,-6.839704,107.129302
Dealer Honda Suprajaya Motor Setu,Jl. Raya Kp. Utan Setu,-6.319407,107.059295
Honda Tdm Bandung (dealer Resmi Motor Honda),Jl. Raya Cimareme 240,-6.861209,107.527544
Dealer Honda As Putra Motor Kuningan,Jl. Raya Siliwangi 126,-6.951653,108.488467
Honda Platinum Motor Karawang,Jl. Wirasaba,-6.318813,107.314721
"Dealer Harika Prima Sakti Motor, Bogor",Jl. Raya Leuwiliang 99,-6.899096,107.552424
Honda Mitra Jaya,Jl. PHH Mustofa 27,-6.898235,107.636873
Honda Naga Mas Motor Cimahi,Jl. Raya Barat 816,-6.947212,107.634443
PT. Nafriya Abadi Motor,Jl. Raya Cimalaka-Cirebon Dusun Margamulya,-6.390146,108.147549
Tridjaya Motor Pagaden,Kp. Rancabogo RT 19/05,-6.304498,107.821045
Dealer Honda Motor Selamat Lestari Mandiri - Selamat Motor,Jl. Siliwangi 134,-6.919268,106.917288
Virgi Motor,Jl. Pangkal Perjuangan 88,-6.275898,107.271704
Dealer Honda Daya Motor Soekarno Hatta Bandung,Jl. Soekarno Hatta 518,-6.946413,107.63931
Amarta Motor,Jl. Dr. Cipto Mangunkusumo 87B,-6.732814,108.550052
Amarta Motor,Jl. RE. Martadinata 1,-6.971588,108.516601
Harika Motor Karawang,Jl. Interchange Tol Karawang Barat,-6.308115,107.275316
Honda Bintang Motor - Bandung,Jl. Raya Banjaran 486,-6.273799,107.100483
Merdeka Motor Honda Rancaekek,"Jl. Raya Rancaekek 605 Km. 7,5",-6.967036,107.824439
Cibitung Motor Mandiri. PT Sadang - Purwakarta,Jl. Purwakarta-Subang,-6.509777,107.461565
Dealer & Bengkel Honda Ahass Catur Anugerah Mandiri,"Ruko Grand Kalimas A12,A15,A16",-6.266757,107.035582
Honda Pacific V Motor Subang,Jl. Otista 81 Blok L10,-6.547707,107.776461
Dealer Honda Wing Markoni Mandiri Perkasa Karawang,Jl. Cikalongsari 35,-6.285978,107.820147
Dealer Honda Cemara Agung Pratama Purwakarta,Jl. Pramuka RT 05/02,-6.557302,107.428921
Bekasi Motor Honda Wing,Jl. Mm. Hasibuan,-6.251152,107.000894
Honda Motocare Bekasi,Jl. Raya Hankam RT 001/008,-6.406743,106.756547
Dealer Dan Bengkel Resmi Honda Mitra Utama Kuningan,Jl. Raya Bandorasa Wetan 03,-6.890366,108.493778
Helmi Hendra,Dusun Kawali,-7.18508,108.370394
Dealer & Bengkel Honda Wing Mitra Sehati Jaya Bogor (part Of Mitra Jaya Group),Kp. Galuga,-6.264493,106.871497
Harika Motor Bekasi,Jl. Raya Setu Kav. 2,-6.308089,107.275335
Dealer Honda Dmb Motor,Jl. Raya Ciangsana,-6.343227,106.96307
Mpm Motor Bogor - Ahass 13378,Jl. Raya Puncak Cipayung 20 A-C,-6.93778,107.620815
Daya Motor Baros,Jl.H.M.S Mintaredja RT 002/009,-6.896214,107.542265
Astra Motor Banjar,Jl Raya Batulawang Lingkungan,-7.382215,108.540761
Dealer Honda Suprajaya Motor Cianjur,Jl. Raya Bandung KM. 3 RT 003/012,-6.805202,107.165738
Honda Siap Motor,Jl. Soekarno Hatta 157,-6.938736,107.580968
Tunas Honda - Tdm Sukabumi,Kp. Sukaraja RT 03/01,-6.23078,107.003245
Dealer Honda Daya Motor Indramayu (official),Jl. Gatot Subroto RT 17/02,-6.189217,106.597705
PT. Nafriya Abadi Motor Indramayu,JL. MUNTUR N0.126,-6.39017,108.14766
PT Mawar Motor Fayuri,JL. RAYA KARANGANYAR BLOK CILET RT 01/08,-6.37399,108.12338
Honda Beji Motor Depok,Jl. Nusantara Raya 50 RT 01/13,-6.273759,106.763369
Dealer Honda Nusantara Sakti Cianjur,Jl. Raya Sukabumi Kp. Cieundeur RT 01/01,-6.911108,106.896784
Astra Motor Sukabumi,Jl. RH. Didi Sukardi RT 01/03,-6.933481,106.932025
Nata Motor,JL. A. H. NASUTION,-7.343619,108.193427
Dealer Honda Budiman Motor Ciamis,"JL. RAYA BARAT BANJARSARI NO. 70, DUSUN CIKOHKOL",-7.319515,108.198337
Mitradeka Mandiri,JL. RAYA KLARI NO.14 DUSUN KRAJAN II RT.002/002,-6.35195,107.34496
Star,Jl. Raya Kosambi,-6.369033,107.372233
Eddi,Jl. Raya Ciwastra 243,-6.95995,107.662233
Panca Jaya Citra,Jl. Jend. Ahmad Yani 269 RT,-6.9134,107.636867
Bambu Kuning,Jl. Raya Mayor Oking 23,-6.486033,106.88235
Mitra,Jl. Raya Anjun,-6.638317,107.39145
Jaya Motor,Jl. Raya Sindang Kerta 66 Rt 2/13,-6.387883,108.289217
Sakura Motor,Jl.Raya Hankam 39 Rt 005/009,-6.30495,106.9208
Nabilah 1,Jl. HM Joyomartono 45 Rt 003/021,-6.2593,107.019783
Siliwangi Motor I,Jl. Raya Gado Bangkong 170,-6.863967,107.511333
Sumber Buana,Jl. Emong 3 Rt - Kel. Burangrang,-6.924983,107.617617
Utama Jaya,Jl. Kali Malang 3A-B,-6.249733,106.9465
Central Motor,Jl. Otista 106 Rt 041/011,-6.56335,107.767217
Surya Jaya Motor,Jl. Kali Abang Tengah 12 Rt001/002,-6.200933,106.993283
Rapi Motor,Jl. Raya Narogong Km.17/8,-6.378417,106.969117
Gumilang Motor,Jl. Raya Rajagaluh Rt 003/001,-6.783167,108.348867
Setia Pusaka,Jl. Raya Cijulang Rt011/002,-7.733333,108.473517
Surya Sakti,Jl. Kiaracondong 296 RT 10/01,-6.937483,107.642567
Buana Motor,Jl. Perintis Kemerdekaan 76A,-7.369617,108.536267
Selly Motor,"Jl.Raya Jangga, Ds.Karang Asem",-6.4665,108.161883
Mitra Abadi Motor,Jl. Rajawali Raya F7 Kec Harjamukti,-6.739,108.564667
Jakarta Motor,"Jl. Raya Laswi 214, Ds. Sukamaju",-7.05125,107.754833
Bandung Motor,Jl. Raya Jamblang 110,-6.707617,108.447683
Chandra Motor,Jl. Raya Warung Tiwu 310,-6.832383,107.36115
Rejeki Motor,Jl. Depok 18 Rt006/005,-7.1961,108.504533
Surya Motor,Jl. Raya Sukanegara RT. 05/05,-7.102283,107.129033
Saroja Motor,Jl. Simpang 107,-7.268283,107.815117
Roby Motor,Jl. Syech Quro Rt 004/002,-6.2819,107.458183
Sinar Rembulan,Desa Randegan Wetan RT-,-6.66045,108.242183
Kebalen Damai,Jl. Raya Babelan 29 Rt 002/001,-6.176383,107.043067
Hartana,Jl. Raya Timur 60/70 Banjaran,-7.04825,107.59205
Arindrata,Jl. Kerkop 125 Leuwigajah,-6.903683,107.533733
Matahari Motor,Jl. Terusan Kopo 298 RT/RW 03/04,-6.9762,107.5663
Barokah Motor,Jl. Sukamiskin 109 Rt 001/006,-6.904617,107.674317
Ayurin Motor,Jl.Kaliabang Tengah,-6.173033,106.9928
Bina Swadaya,"Jl,Ujung.Harapan RT/RW 016/16",-6.18715,107.006983
Wijaya Ekatama,Jl. Raya Jasinga 22,-6.48225,106.468283
Caringin,Jl. Caringin 237 C Rt 005/002,-6.9444,107.576433
Vici Motor,Jl. Purwakarta Raya 91 RT 001/007,-6.91715,107.656233
Aditya Motor,Jl. Raya Banjarsari Barat 12,-7.48415,108.608817
Kadungora,Jl. Baru Kadungora 306,-7.0873,107.8985
Hartana Motor Ii,Jl.Raya Baru Warung Lobak 3,-7.017283,107.54795
Tunas Inti Motor,Jl. Terusan Cibaduyut 162 Rt007/006,-6.971983,107.589933
Semplak Motor,Jl Raya Semplak 150 Rt002/008,-6.548067,106.7604
Berlian Motor,Jl. Raya Puncak 493 km. 79,-6.668,106.9248
Lancar Sakti,"Jl.Sukatani,Kp.Blokang",-6.181533,107.177033
Griya Motor,Jl.Siliwangi 138 RT-Ds Ciawigebang,-6.972017,108.58215
Hay Motor,Jl. Raya Nagreg Rt003/003,-7.013183,107.87765
Jembar Baru,Jl. R Sumurgede Rt.01/05,-6.18955,107.476617
Siliwangi Ii,Jl. Raya Batujajar Timur 200,-6.913883,107.498
Wira Agung,Jl. Raya Cibanteng No.75 E 001/003,-6.5605,106.714783
Sahabat Karib Utama,"JL. RAYA CIPEUNJEUH WETAN, 47",-6.83101,108.62125
Gemilang Abadi,Jl. Raya Cikereteg RT,-6.69265,106.841417
Guna Motor 2,Jl. Raya Telanjung Udik 21,-6.452633,106.90605
Selamat Motor,Jl. Raya Suryakencana 175,-6.882667,106.778517
Pratama Sakti,Ruko Sentra Oderdil Harapan Indah,-6.176517,106.976533
"Lima Motor, Pd",Ds. Cipeundeuy Rt.04/02,-6.503333,107.569783
Bts Motor,"Jl. Raya Jatinangor, Cibeusi",-6.937617,107.758267
Top Speed Motor,Jl. Gegerkalong Hilir 30 Rt 001/004,-6.870017,107.591733
Rama Motor,"Jl. Tole Iskandar 43, RT/RW 01/01",-6.4036,106.83705
Ciranjang Motor,Jl. Raya Cirancang 199 RT 002/003,-6.81395,107.2479
Marga Utama,Jl. Akses UI 55/Rt 10/01,-6.35495,106.846767
Hari Baru Motor 2,Jl. Melong Asih 40 rt/rw 008/003,-6.919867,107.567683
Rastra Motor,Jl. Raya Pemda 24 Rt 002/004,-6.5189,106.808133
Jaya Raya Motor,Jl. Raya Cicalengka 24 rt/rw002/13,-7.041639,107.771653
Indah Motor,Jl. Raya Jalaksana 217,-6.929867,108.48755
Tunas Cemara Motor,Jl. Moch. Toha Rt 007/005,-6.95085,107.61185
Karsa Jaya,Jl. Leuwipanjang 90B,-6.942717,107.595733
Tri Pusaka Motor,Jl. Raya Bogor 73,-6.396833,106.86515
Dua Cakrawala,Jl. Raya Cibinong KM.48,-6.517117,106.837133
Siliwangi Iii,Jl. Cipetir 100 RT.03/01 Karang,-6.952717,107.460717
Cv Jati Mandiri,Jl. Raya Nanjung 42 Rt 008/002,-6.901067,107.5368
Sakura Motor Ii,Jl. Raya Jatimekar 339 Rt005/011,-6.290867,106.955717
Bersama Jaya Prima,Jl. Pengsinan Raya 22 Rt 05/03,-6.2681,107.016933
Ria Motor,Jl. Soekarno Hatta 620 Rt 001/001,-6.939367,107.6639
Sampurna Motor,Jl.Surapati 185 Rt001/009,-6.899011,107.630523
Slamet Jaya,Jl. Raya Banjaran 262 Rt005/011,-7.009917,107.611167
Tanah Mas Motor,Jl. Bosih Raya A3/18 Rt.06/05,-6.260083,107.084
Cv Berkat Rr Abadi,"Pengasinan Ry 51, RT/RW 08/02",-6.26825,107.003883
Salas Motor,PUP. Sektor V AI 14 12 RT,-6.1747,107.005817
Istana Sultan Graha,Jl. Kolonel Masturi 127 Rt 002/003,-6.8648,107.543617
Hs Jaya Motor,"Jln. KH. Abdul Halim 201,",-6.834333,108.223883
Honda Taman Kopo,"Tm. Kopo Indah III Ruko A9, Rahayu",-6.960933,107.557683
Cv Berkah Pratama,Jl. Raya Bintara V No.25,-6.2064,107.02665
Sinar Rembulan,"Jl. Protokol,RT 017/09 Jatitujuh",-6.651383,108.221283
Harning Motor,Jl. Kalimulya 80 Rt.01/03,-6.435283,106.821533
Cv Mirah Motor,Jl. Raya Hankam Ujung Aspal 18,-6.3345,106.92075
Sriwijaya Motor,Jl. Pahlawan No.08 Rt.06/04,-6.2447,107.025917
Griya Motor Ii,Jl. Re. Martadinata Rt 001/001,-6.970417,108.50905
Prima Motor,Jl. Raya Luragung Rt 001/002,-7.017533,108.636017
